GameId,PlayerId,BackPostPass,BlockedShot,Goal,GoalAssist,OffTargetShot,OnTargetShot,PlayerOff,playerOn,SavedShot,SuccessfulDribbling,SuccessfulInterception,SuccessfulPass,SuccessfulTackle,UnsuccessfulDribbling,UnsuccessfulInterception,UnsuccessfulPass,UnsuccessfulTackle,PlayerAttackingScore,PlayerDefendingScore,PlayerTeamPlayScore,PlayerTotalScore
471,3,0,3,4,0,5,8,2,2,4,8,3,15,6,5,0,4,1,820,460,410,1690
472,3,3,2,0,1,5,4,3,3,4,18,0,32,2,5,2,14,1,1270,80,820,2170
436,3,0,0,1,2,2,3,2,2,2,2,1,15,3,3,0,6,0,460,220,390,1070
437,3,2,4,1,1,1,3,2,2,2,11,1,16,3,4,0,3,2,930,180,450,1560
438,3,6,2,5,4,0,10,2,2,5,9,3,16,7,3,0,7,2,2510,500,410,3420
487,3,1,2,1,0,2,4,2,2,3,10,3,16,3,5,1,9,1,630,270,390,1290
496,3,1,3,1,2,1,8,2,2,7,15,1,24,2,2,0,10,3,1320,100,620,2040
497,3,1,1,3,0,2,6,3,3,3,5,1,9,0,6,0,6,1,670,20,210,900
489,3,4,1,1,2,0,4,2,2,3,4,3,15,1,2,3,4,4,1130,70,410,1610
500,3,2,4,2,1,1,6,2,2,4,7,5,24,9,9,0,17,1,770,720,550,2040
501,3,5,1,4,2,3,13,2,2,9,5,2,20,5,7,0,8,5,1700,280,520,2500
506,3,0,2,1,1,4,3,2,2,2,9,0,26,3,6,0,9,1,520,160,690,1370
507,3,2,2,1,1,1,2,2,2,1,4,0,17,1,3,0,4,3,630,0,470,1100
512,3,0,2,2,0,0,3,3,3,1,3,0,12,4,6,0,7,0,250,240,290,780
528,3,1,0,3,0,3,3,2,2,0,11,2,23,1,7,1,17,3,890,150,520,1560
534,3,2,0,2,1,0,3,1,1,1,3,1,11,1,3,1,2,2,780,50,310,1140
534,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,3,2,0,1,1,7,3,3,3,2,19,2,17,4,2,0,14,5,1410,220,370,2000
538,3,3,3,1,0,1,2,2,2,1,5,5,14,0,3,1,8,2,650,150,340,1140
544,3,2,1,2,0,1,5,2,2,3,7,3,23,3,4,2,9,4,820,200,600,1620
547,3,3,4,1,1,1,5,2,2,4,21,2,23,3,10,0,19,3,1420,200,500,2120
548,3,2,1,3,1,2,6,2,2,3,7,7,14,0,5,1,6,0,1070,350,360,1780
567,3,2,2,1,1,0,4,2,2,3,10,5,18,2,4,1,5,1,950,290,490,1730
